Date,Open,High,Low,Close
2004-12-22,1.475,1.475,1.475,1.475
2004-12-23,1.483,1.483,1.483,1.483
2004-12-27,1.5,1.5,1.5,1.5
2004-12-28,1.5425,1.5425,1.5425,1.5425
2004-12-29,1.4825,1.4825,1.4825,1.4825
2004-12-30,1.487,1.487,1.487,1.487
2005-01-03,1.5235,1.5235,1.5235,1.5235
2005-01-04,1.395,1.395,1.395,1.395
2005-01-05,1.422,1.422,1.422,1.422
2005-01-06,1.42,1.42,1.42,1.42
2005-01-07,1.415,1.415,1.415,1.415
2005-01-10,1.4135,1.4135,1.4135,1.4135
2005-01-11,1.44,1.44,1.44,1.44
2005-01-12,1.444,1.444,1.444,1.444
2005-01-13,1.408,1.408,1.408,1.408
2005-01-14,1.434,1.434,1.434,1.434
2005-01-18,1.44,1.44,1.44,1.44
2005-01-19,1.4505,1.4505,1.4505,1.4505
2005-01-20,1.458,1.458,1.458,1.458
2005-01-21,1.4765,1.4765,1.4765,1.4765
2005-01-24,1.4755,1.4755,1.4755,1.4755
2005-01-25,1.4735,1.4735,1.4735,1.4735
2005-01-26,1.4855,1.4855,1.4855,1.4855
2005-01-27,1.4955,1.4955,1.4955,1.4955
2005-01-28,1.4625,1.4625,1.4625,1.4625
2005-01-31,1.463,1.463,1.463,1.463
2005-02-01,1.451,1.451,1.451,1.451
2005-02-02,1.4335,1.4335,1.4335,1.4335
2005-02-03,1.4305,1.4305,1.4305,1.4305
2005-02-04,1.418,1.418,1.418,1.418
2005-02-07,1.4335,1.4335,1.4335,1.4335
2005-02-08,1.433,1.433,1.433,1.433
2005-02-09,1.43,1.43,1.43,1.43
2005-02-10,1.47,1.47,1.47,1.47
2005-02-11,1.4675,1.4675,1.4675,1.4675
2005-02-14,1.4695,1.4695,1.4695,1.4695
2005-02-15,1.4695,1.4695,1.4695,1.4695
2005-02-16,1.476,1.476,1.476,1.476
2005-02-17,1.5035,1.5035,1.5035,1.5035
2005-02-18,1.4945,1.4945,1.4945,1.4945
2005-02-22,1.492,1.492,1.492,1.492
2005-02-23,1.5,1.5,1.5,1.5
2005-02-24,1.483,1.483,1.483,1.483
2005-02-25,1.489,1.489,1.489,1.489
2005-02-28,1.5,1.5,1.5,1.5
2005-03-01,1.4645,1.4645,1.4645,1.4645
2005-03-02,1.477,1.477,1.477,1.477
2005-03-03,1.475,1.475,1.475,1.475
2005-03-04,1.492,1.492,1.492,1.492
2005-03-07,1.4945,1.4945,1.4945,1.4945
2005-03-08,1.4975,1.4975,1.4975,1.4975
2005-03-09,1.502,1.502,1.502,1.502
2005-03-10,1.495,1.495,1.495,1.495
2005-03-11,1.481,1.481,1.481,1.481
2005-03-14,1.475,1.475,1.475,1.475
